Code,Nitrosocosmicus sp.,Udaeobacter sp.,Gemmata sp.,Humicola olivacea,Aspergillus terreus,Ilumatobacter sp.,Talaromyces marneffei,Scytalidium sp.,Rubrobacter sp.,Fusarium brachygibbosum,Humicola sp.,Curvularia lunata,Neobacillus drentensis,Rhodoplanes sp.,Solirubrobacter sp.,Target_Crop_Grouped,Irrigation_Usage,Organic_Practices,Biodynamic_Methods,Total_P_Applied,Total_K_Applied,Total_Zinc_Applied,Total_Sulfur_Applied,Previous_Year_Crop_Frijol,Irrigation_Type_Superficie,Product_1_Type_Fertilizante sintético
AZM049,1.0000680529468229,-1.0667598003104617,0.7446634380139692,-3.136586438392438,-2.3614113112876502,0.8427486602548101,-0.912209634216342,-1.0666890396775013,1.7591791981712266,-2.2717491633033853,-2.628652650133789,2.1302564277967706,2.3946945323689004,1.3392767266392147,2.359143979153163,2,-1,-1,-1,0,0,0,0,0,0,0
AZM04A,-2.002383562871326,2.2234961192798655,1.6806487166493531,-0.5153333906319894,-4.0328346412940865,0.8785842183991881,0.1334691819997581,0.5120982580922641,2.2187244266316704,-4.0328346412940865,-1.670314021196455,2.521086713505344,2.6445956260810024,3.3096447831754365,2.700294443566676,2,-1,-1,-1,0,0,0,0,0,0,0
AZM04B,1.1138947176384708,0.2858336769023519,-1.4192155788671603,0.2146630079675278,-1.7767186862065647,-0.5739928341638857,0.0364644699535433,1.1700177115033716,0.2734530428832595,-1.1829741108477676,0.7239125217485032,0.0793037590172501,0.4795792089723519,-0.1772615773794548,1.055794271678488,1,1,0,0,4,2,2,8,0,0,1
AZM04C,1.31911302364341,0.1881008210487369,-0.275520817551914,0.6166004370756548,0.1042118979170155,0.1521283086140748,-1.679556955646299,-1.5363246318747057,0.5489856614681534,-3.097679013219512,-0.3057717551006206,2.406946091412584,1.4084951550963378,0.6202713538691118,1.4352451705853466,3,1,1,-1,2,2,1,1,0,0,1
AZM04D,0.3423234815376414,-0.0313157178485854,-0.8213542674517957,-0.5457108089071765,1.3495442628777936,0.009838974546254,-0.1346395896663826,1.2401823601766868,0.0792471202107871,-1.4061224853086307,1.1644374703284723,-0.8827809605213005,0.0028022159503943,0.5023036527708844,1.047065886990756,1,1,0,0,2,2,2,8,0,0,1
AZM04E,2.3152394833965864,-2.0531341589070395,-0.1415445921735811,-1.15569428202661,2.0876492902279553,0.1582651222612013,-2.7833328991075623,0.3242692702897554,0.5321166785764955,-0.0637844313180067,1.941885329167768,1.330213870098478,-4.231233016657204,0.3452537995189652,1.3250221781557103,0,1,1,-1,0,1,0,0,0,1,1
AZM04F,1.6683782894437793,0.1305020252048263,-0.7659914325767844,-0.3076833500762681,0.8117918447568572,-0.1138290009193487,-0.5170042375498454,1.1609583943476796,0.3715241464739978,-0.2224451390485624,1.9506280109200185,-0.693068738351985,0.1380792690264892,0.2108520040330942,1.093224101118405,1,1,0,0,2,2,2,8,0,0,1
AZM04G,2.0828036527278604,0.9354804163883936,0.1329262747025811,-0.0438785735121866,0.178805526034042,1.057181470337666,1.893728951215095,2.706326685982068,1.193822632567161,-1.5641638072001631,3.5859289472512272,-3.310741215343761,-5.090525458840631,1.5842078455699022,1.7906114775984048,0,1,0,0,1,1,0,0,0,1,1
AZM04I,1.0613853984811925,-0.0441664178842786,-0.7599959695602214,-0.2576345641165327,1.552482511415288,-0.0407489591652714,-1.5765769365926854,0.3702427583848297,0.887290719114236,0.1539036034898247,0.766498107536153,0.4774027910080196,-0.0028126349047134,0.0587553156924312,1.044625311337798,1,0,0,0,3,2,2,8,0,1,1
AZM04J,1.7037424989465964,-2.2025727354103,-0.3266328603994554,-0.2606556637516969,1.6460004027508457,0.135217113696558,-0.0238082223424412,-2.144416423899344,1.4968094049937923,0.9605054832638732,-4.369049613549376,2.262143928589878,-5.470577967319273,-0.1444511167332352,1.6744591529512336,3,1,1,0,0,0,0,0,1,0,0
