Microbe_Name
Citrifermentans sp.
Geobacter bemidjiensis
Geobacter metallireducens
Geobacter pickeringii
Geobacter sp.
Geobacter daltonii
Geobacter lovleyi
Trichlorobacter sp.
Smithella propionica
Syntrophus sp.
Desulfovirga sp.
Syntrophobacter sp.
Syntrophobacter wolinii
Syntrophorhabdus sp.
Endomicrobium sp.
Entotheonella sp.
Fibrobacter sp.
Tumebacillus sp.
Aneurinibacillus sp.
Alkalihalobacillus trypoxylicola
Anaerobacillus sp.
Bacillus acidiceler
Bacillus andreesenii
Bacillus cereus
Bacillus circulans
Bacillus funiculus
Bacillus gottheilii
Bacillus halmapalus
Bacillus halotolerans
Bacillus korlensis
Bacillus longiquaesitum
Bacillus massiliogorillae
Bacillus megaterium
Bacillus oceanisediminis
Bacillus pocheonensis
Bacillus pumilus
Bacillus simplex
Bacillus sp.
Bacillus sporothermodurans
Bacillus subterraneus
Bacillus subtilis
Cytobacillus firmus
Fictibacillus nanhaiensis
Halobacillus sp.
Mesobacillus foraminis
Metabacillus fastidiosus
Metabacillus indicus
Metabacillus litoralis
Metabacillus niabensis
Neobacillus niacini
Peribacillus asahii
Terribacillus sp.
Domibacillus indicus
Domibacillus sp.
Lysinibacillus fusiformis
Lysinibacillus sphaericus
Planococcus sp.
Sporosarcina soli
Sporosarcina sp.
Brevibacillus ginsengisoli
Brevibacillus laterosporus
Brevibacillus sp.
Erysipelothrix sp.
Exiguobacterium aurantiacum
Ammoniphilus resinae
Ammoniphilus sp.
Cohnella sp.
Cohnella yongneupensis
Paenibacillus barcinonensis
Paenibacillus cellulosilyticus
Paenibacillus daejeonensis
Paenibacillus durus
Paenibacillus ehimensis
Paenibacillus filicis
Paenibacillus gansuensis
Paenibacillus glycanilyticus
Paenibacillus gorillae
Paenibacillus harenae
Paenibacillus lautus
Paenibacillus marinisediminis
Paenibacillus massiliensis
Paenibacillus mucilaginosus
Paenibacillus polymyxa
Paenibacillus prosopidis
Paenibacillus ruminocola
Paenibacillus sp.
Paenibacillus stellifer
Paenibacillus translucens
Staphylococcus aureus
Staphylococcus saprophyticus
Thermicanus sp.
Baia sp.
Shimazuella kribbensis
Shimazuella sp.
Fervidicella sp.
Fonticella sp.
Clostridium polyendosporum
Clostridium beijerinckii
Clostridium cavendishii
Clostridium cellulovorans
Clostridium hydrogeniformans
Clostridium hydrogeniproducens
Clostridium kogasensis
Clostridium magnum
Clostridium pasteurianum
Clostridium putrefaciens
Clostridium sp.
Clostridium subterminale
Clostridium tunisiense
Ilyobacter delafieldii
Oxobacter sp.
Gracilibacter sp.
Lutispora sp.
Anaerocolumna sp.
Anaerosporobacter sp.
Cellulosilyticum sp.
Herbinix sp.
Clostridium amygdalinum
Lachnoclostridium sp.
Bacteroides xylanolyticus
Lachnotalea sp.
Mobilitalea sp.
Monoglobus sp.
Acetivibrio sp.
Hungateiclostridium aldrichii
Hungateiclostridium cellulolyticum
Anaerobacterium sp.
Ercella sp.
Pseudobacteroides cellulosolvens
Pseudobacteroides sp.
Ruminiclostridium cellobioparum
Ruminiclostridium cellulolyticum
Ruminiclostridium sp.
Ruminiclostridium sufflavum
Acidaminobacter sp.
Anaerovorax sp.
Anaerococcus octavius
Finegoldia magna
Peptoniphilus harei
Peptoniphilus sp.
Fusibacter sp.
Alkaliphilus peptidifermentans
Paeniclostridium ghonii
Paraclostridium sp.
Romboutsia maritimum
Sporacetigenium mesophilum
Tepidibacter formicigenes
Sedimentibacter sp.
Anaerosolibacter carboniphilus
Crassaminicella sp.
Salimesophilobacter sp.
Thermincola sp.
Desulfitobacterium metallireducens
Desulfitobacterium sp.
Desulfosporosinus sp.
Desulfofarcimen sp.
Desulfotomaculum aquiferis
Desulfotomaculum sp.
Hydrogenispora sp.
Succinispira sp.
Propionispira sp.
Anaerosinus sp.
Anaerospora sp.
Anaerosporomusa sp.
Sporomusa ovata
Sporomusa rhizae
Sporomusa sp.
Syntrophomonas sp.
Syntrophomonas zehnderi
Hypnocyclicus sp.
Gemmatimonas sp.
Gemmatirosa sp.
Roseisolibacter agri
Roseisolibacter sp.
Longimicrobium sp.
Methylomirabilis sp.
Moduliflexus sp.
Anaeromyxobacter sp.
Aggregicoccus edonensis
Aggregicoccus sp.
Archangium gephyra
Archangium minus
Archangium sp.
Corallococcus coralloides
Cystobacter gracilis
Myxococcus fulvus
Myxococcus sp.
Stigmatella sp.
Vulgatibacter sp.
Haliangium sp.
Kofleria flava
Enhygromyxa salina
Enhygromyxa sp.
Nannocystis exedens
Nannocystis konarekensis
Nannocystis sp.
Pseudenhygromyxa sp.
Phaselicystis flava
Phaselicystis sp.
Aetherobacter sp.
Chondromyces pediculatus
Jahnella thaxteri
Labilithrix luteola
Minicystis rosea
Minicystis sp.
Pajaroellobacter sp.
Polyangium fumosum
Polyangium sorediatum
Polyangium sp.
Sorangium cellulosum
Sorangium sp.
Sandaracinus amylolyticus
Sandaracinus sp.
Leptospirillum sp.
Nitrospira japonica
Nitrospira nitrosa
Nitrospira sp.
Falkowbacteria sp.
Woesebacteria sp.
Woykebacteria sp.
Moranbacteria sp.
Nomurabacteria sp.
Brocadia sp.
Fimbriiglobus sp.
Gemmata sp.
Aquisphaera sp.
Isosphaera pallida
Paludisphaera borealis
Singulisphaera sp.
Tundrisphaera sp.
Anammoximicrobium sp.
Blastopirellula sp.
Pirellula sp.
Rhodopirellula sp.
Planctomicrobium sp.
Planctopirus limnophila
Planctopirus sp.
Acidicaldus sp.
Belnapia sp.
Paracraurococcus ruber
Rhodovarius sp.
Roseomonas riguiloci
Roseomonas sp.
Roseomonas terricola
Roseomonas wooponensis
Rubritepida flocculans
Rubritepida sp.
Acuticoccus sp.
Azospirillum canadense
Azospirillum fermentarium
Azospirillum soli
Azospirillum sp.
Indioceanicola profundi
Skermanella sp.
Skermanella stibiiresistens
Inquilinus limosus
Asticcacaulis endophyticus
Caulobacter sp.
Phenylobacterium koreense
Phenylobacterium mobile
Phenylobacterium sp.
Hirschia sp.
Hyphomonas sp.
Defluviicoccus sp.
