Code,Pythium sp.,Humicola sp.,Aspergillus terreus,Curvularia lunata,Didymella exigua,Talaromyces marneffei,Chrysosporium lobatum,Nitrososphaera sp.,Nitrosocosmicus sp.,Dokmaia sp.,Fusarium brachygibbosum,Penicillium pinophilum,Penicillium javanicum,Cladosporium herbarum,Exserohilum rostratum,Scytalidium sp.,Aspergillus deflectus,Acrophialophora jodhpurensis,Fusarium pseudensiforme,Chaetomium megalocarpum,Neobacillus drentensis,Fusarium equiseti,Solirubrobacter sp.,Aspergillus niger,Udaeobacter sp.,Humicola olivacea,Rhodoplanes sp.,Rubrobacter sp.,Gaiella sp.,Bacillus sp.,Nocardioides sp.,Bacillus megaterium,Ilumatobacter sp.,Pedomicrobium sp.,Sphingomonas sp.,Pirellula sp.,Haliangium sp.,Microvirga sp.,Micromonospora sp.,Bryobacter sp.,Povalibacter uvarum,Gemmata sp.,Target_Crop_Grouped
AZM04I,1.7053326391401,3.4106652782803,7.4897856531446,2.5533661016052,3.4018407885564,0.32385877286646,11.890117453958,12.668029379157,4.5818320399113,2.077726105488,1.8465244747222,0.33665428296609,0.12177795818957,22.075784717749,4.312528128061,2.2934848792369,0.12927877445487,0.17340122307428,1.3294093769028,0.12619020305151,1.5780903547672,4.3650338419181,4.5056125277162,0.42975264955304,1.5139966740576,1.2221918267576,1.6785615299335,3.8490853658537,4.0482954545455,1.922810421286,1.8691103104213,1.6647034368071,1.51919345898,1.3632899113082,1.5988774944568,1.4637610864745,1.3113220620843,1.2558896895787,0.46424611973392,1.3061252771619,1.3858093126386,0.73794345898004,1
AZM04J,0.41110748273932,0.0081638365366673,5.0038486657959,9.2694532562045,6.038906512409,0.93884120171674,15.673399888039,13.901938267738,5.301527647284001,0.0,2.519126702743,0.16735864900168,2.9972942713193,0.11837562978168,0.93359302108602,0.10904553088263,0.22275611121478,2.0549542825154,2.5039652920321,3.9349692106736,0.0,1.2006671020713,5.1484149354491,1.4438328046277,0.10265511361659,0.73999346893077,0.83168041201239,4.3097748547169,3.8086787068936,1.6651007412047,2.439363886279,2.8987020217838,1.1013675749034,0.93259560844904,2.4376239690991,1.0578696454049,0.51675540244284,1.5398267042489,0.74294463583533,1.0665692313046,0.8212409089327299,0.69248703761701,3
AZM04K,34.247456553581,2.3870788963224,0.0,0.0,0.46613356557539,0.36023910375678,0.0,3.9492242595205,0.96187195079655,1.2737025454258,0.0,0.0,0.0722457543248489,0.13954316931238,0.0,2.0456434820474,1.5993032738213,0.0,0.70959186097146,0.0,1.2323984369581,0.035628043228692,3.2000739901501,0.19001623055303,4.0116534486347,0.12469815130042,4.4555943490023,0.82545261162108,4.3908529676987,0.9063793382506,1.2092765150639,0.31677032994983,1.7272075654928,1.1445351337603,1.5838516497491,2.4509237207797,2.006982820412,0.2659021017827,0.5687992785960401,0.4485652847464699,1.276330088557,1.1468473259497,2
AZM04L,14.444113461093,28.65653857611,0.34422268559891,4.0280673882104,3.1873696753053,0.0628868367921089,0.17873100983021,9.7313984016618,8.1446005597069,4.6734849237083,0.53288319597524,0.21513917849932,0.84731737993579,2.0090689438321,0.7049945387747,2.6015291430841,0.10591467249197,0.0595770032767349,0.81752887829742,0.092675338430477,0.0,1.0161188892199,4.8527163093967,0.10922450600735,0.051931565736707,2.9358223281369,1.3992671879057,3.941028822019,3.8400507775309,1.1684602290759,2.2445976746199,0.5250858313378101,2.1436196301318,0.74146735524076,1.9560889760826,1.029976053778,1.0040102709097,1.3069444043738,1.5435215371743,1.788753930931,0.67511035457719,1.1857707509881,3
AZM04M,3.0150467901129,2.3608385243337,5.1227351594277,0.39252495946753,12.677418437296,1.7919617714822,0.7850499189350599,12.272562959393,3.7745511507411,0.77367238387803,1.2970389965014,0.94149102596922,8.4108427909093,0.12799726939159,0.042665756463862,1.9256478084023,1.3311716016725,1.3453935204938,1.314105299087,0.082487129163467,2.2261718279311,3.5981454617857,3.7594890950717,1.3027277640299,2.6207976864682,1.0296669226612,1.8044342691891,2.7714182431618,3.0666345342812,1.4218580551874,1.9640920592843,1.5544041450777,1.0332570189179,1.3585974213761,1.9972285817568,1.8616700807326,1.7712977467165,1.1808651644776,0.29220387998554,1.5845282564164,1.0724183636583,1.3043740209664,1
AZM04N,2.3948896631823,15.542392566783,9.8002322880372,4.4134727061556,0.60162601626016,1.8373983739837,0.13937282229965,12.214706044107,6.503327283726599,0.30662020905923,0.13472706155633,2.5783972125436,0.92682926829268,1.0917537746806,0.51103368176539,0.44134727061556,0.0,1.7979094076655,4.534262485482,0.92915214866434,1.4574052686575,0.52032520325203,6.6793158444701,0.7944250871080101,0.23098498597591,0.39256678281069,2.1366111202772,5.535390199637,4.2622229555079,1.5069020513667,1.7516361436507,1.7818841775285,1.4436561623494,1.3254138480999,2.0321179123357,1.3199142055766,1.3446625969312,1.4629049111808,1.3501622394544,1.3006654567453,1.6746411483254,0.8414453060551099,0
AZM04O,3.4112187576325,8.97174957258,2.1248880566637,0.10583733615566,2.5808027354881,18.928600504763,0.085484002279573,8.2106038291605,4.1559278350515,0.4803386794757,0.0,0.26866400716437,1.8073760481967,1.9376373850037,0.093625335830009,0.54546934787918,0.0,0.0,1.4288040381014,0.0,0.0,0.069201335178702,3.2216494845361,0.23202800618741,0.48324742268041,1.8847187169258,3.1065905743741,1.5325846833579,3.8337628865979,0.7639911634757,2.4944771723122,0.7041605301914601,1.2794550810015,1.7995213549337,1.4635493372607,1.9329896907216,2.2505522827688,0.7041605301914601,1.2426362297496,2.0940721649485,1.159793814433,0.98030191458027,0
AZM04P,0.54223744292237,2.648673624701,35.598771472059,1.2353228962818,0.95672972385301,1.178245270711,0.59252011306806,11.548478554709,6.3429268453499,0.20792563600783,0.13046314416177,2.9952163513807,0.2500543596434,0.5666992824527101,0.0,1.4649923896499,4.082409219395499,1.1279626005653,0.69308545335943,2.2233094150902,1.691227376125,0.046205696890628,7.427554148946699,0.8099586866710201,0.17472719480434,0.082898456186127,2.7461840240003,3.9363069923845,5.1066495236211,1.361553423664,1.7967230409125,2.0011208914384,1.2923218936472,1.8000197804371,1.5362806184683,2.1725513467181,1.2923218936472,1.4340816932054,0.90330662974318,1.5000164836976,1.4110045165331,1.1175946988428,1
AZM04R,1.3171676966586,1.4088195244579,21.39415523201,6.2742222687755,0.5787158269613499,0.30114171991201,2.6343353933173,12.106519652482,5.7788388176515,1.4769037393946,0.7175028804860201,0.4556405153451299,7.020530009427,2.2729653294229,0.0,1.0291190950037,3.1502042526448,0.65989316015502,0.93746726720436,0.19901539750707,3.8665058699023,0.16759191369016,5.1906180010337,2.1210851576411,1.9098717727843,0.19901539750707,1.4373261795181,3.2832074032143,4.4744160862396,3.0961581058797,1.9418670473284,1.8951047229948,0.68912899017991,1.2970392065172,2.2938150673131,1.3634909305703,0.8712559375846,0.90079003716374,1.7818906746081,1.2281263074992,0.70389603996948,0.53653614235436,1
AZM04S,1.5633064676222,11.314368523445,0.045658474609918,0.43772581093421,23.592527891373,1.9911065232064,0.033747568189939,7.0925415816809,4.2958975545135,3.7757573351332,0.15881208559971,1.9643069837615,0.096279826894827,8.9570016278239,0.22630722197959,1.5365069281772,2.196569658951,0.5002580696391,0.98959780839322,0.42382975344424,1.7641987509725,0.40199309167428,3.1183632272852,0.17866359629968,1.5602329835776,0.15682693452972,1.3667809155329,0.95043842126291,3.4548016064933,1.2637466619005,3.6251235359674,1.3878083142334,1.0471644552852,1.7095275143512,1.9891919170679,1.2090754252791,1.5265891456568,1.1523014487878,0.89576718464159,0.79693841074921,0.69810963685682,0.59297264335429,1
